"CATANDUVAS","CATANDUVAS(PR)","CATANDUVAS(SC)",,,
"ENTRE RIOS","ENTRE RIOS(BA)","ENTRE RIOS(SC)",,,
"GUARACIABA","GUARACIABA(MG)","GUARACIABA(SC)",,,
"IPIRA","IPIRA(BA)","IPIRA(SC)",,,
"IRATI","IRATI(PR)","IRATI(SC)",,,
"ITAPIRANGA","ITAPIRANGA(AM)","ITAPIRANGA(SC)",,,
"JARDINOPOLIS","JARDINOPOLIS(SP)","JARDINOPOLIS(SC)",,,
"MARAVILHA","MARAVILHA(AL)","MARAVILHA(SC)",,,
"MASSARANDUBA","MASSARANDUBA(PB)","MASSARANDUBA(SC)",,,
"MONTE CASTELO","MONTE CASTELO(SP)","MONTE CASTELO(SC)",,,
"OURO VERDE","OURO VERDE(SP)","OURO VERDE(SC)",,,
"PALMEIRA","PALMEIRA(PR)","PALMEIRA(SC)",,,
"PARAISO","PARAISO(SP)","PARAISO(SC)",,,
"PETROLANDIA","PETROLANDIA(PE)","PETROLANDIA(SC)",,,
"PINHALZINHO","PINHALZINHO(SP)","PINHALZINHO(SC)",,
"PRAIA GRANDE","PRAIA GRANDE(SP)","PRAIA GRANDE(SC)",,,
"SALTINHO","SALTINHO(SP)","SALTINHO(SC)",,
"SANTA CECILIA","SANTA CECILIA(PB)","SANTA CECILIA(SC)",,,
"SANTA ROSA DE LIMA","SANTA ROSA DE LIMA(SE)","SANTA ROSA DE LIMA(SC)",,,
"SAO CARLOS","SAO CARLOS(SP)","SAO CARLOS(SC)",,,
"SAO JOAO BATISTA","SAO JOAO BATISTA(MA)","SAO JOAO BATISTA(SC)",,,
"TANGARA","TANGARA(RN)","TANGARA(SC)",,,
"TURVO","TURVO(PR)","TURVO(SC)",,,
"VARGEM","VARGEM(SP)","VARGEM(SC)",,,
"VARGEM BONITA","VARGEM BONITA(MG)","VARGEM BONITA(SC)",,,
"ALVORADA","ALVORADA(TO)","ALVORADA(RS)",,,
"BARRACAO","BARRACAO(PR)","BARRACAO(RS)",,,
"CAICARA","CAICARA(PB)","CAICARA(RS)",,,
"CENTENARIO","CENTENARIO(TO)","CENTENARIO(RS)",,,
"COLINAS","COLINAS(MA)","COLINAS(RS)",,,
"COLORADO","COLORADO(PR)","COLORADO(RS)",,,
"HUMAITA","HUMAITA(AM)","HUMAITA(RS)",,,
"INDEPENDENCIA","INDEPENDENCIA(CE)","INDEPENDENCIA(RS)",,,
"JACUTINGA","JACUTINGA(MG)","JACUTINGA(RS)",,,
"LAJEADO","LAJEADO(TO)","LAJEADO(RS)",,,
"MARAU","MARAU(BA)","MARAU(RS)",,,
"NOVA SANTA RITA","NOVA SANTA RITA(PI)","NOVA SANTA RITA(RS)",,,
"SANTA MARIA","SANTA MARIA(RN)","SANTA MARIA(RS)",,,
"SAO FRANCISCO DE PAULA","SAO FRANCISCO DE PAULA(MG)","SAO FRANCISCO DE PAULA(RS)",,,
"SAO GABRIEL","SAO GABRIEL(BA)","SAO GABRIEL(RS)",,,
"SAO MARTINHO","SAO MARTINHO(SC)","SAO MARTINHO(RS)",,,
"SARANDI","SARANDI(PR)","SARANDI(RS)",,,
"SOBRADINHO","SOBRADINHO(BA)","SOBRADINHO(RS)",,,
"SOLEDADE","SOLEDADE(PR)","SOLEDADE(RS)",,,
"TAPEJARA","TAPEJARA(PR)","TAPEJARA(RS)",,,
"TAVARES","TAVARES(PB)","TAVARES(RS)",,,
"BANDEIRANTES","BANDEIRANTES(PR)","BANDEIRANTES(MG)",,,
"CARACOL","CARACOL(PI)","CARACOL(MS)",,,
"DOURADINA","DOURADINA(PR)","DOURADINA(MS)",,,
"ELDORADO","ELDORADO(SP)","ELDORADO(MS)",,,
"JARDIM","JARDIM(CE)","JARDIM(MS)",,,
"MUNDO NOVO","MUNDO NOVO(BA)","MUNDO NOVO(MS)","MUNDO NOVO(GO)",,
"RIO NEGRO","RIO NEGRO(PR)","RIO NEGRO(MS)",,,
"AGUA BOA","AGUA BOA(MT)","AGUA BOA(MG)",,,
"CANARANA","CANARANA(BA)","CANARANA(MT)",,,
"GENERAL CARNEIRO","GENERAL CARNEIRO(PR)","GENERAL CARNEIRO(MT)",,,
"NOVA OLIMPIA","NOVA OLIMPIA(PR)","NOVA OLIMPIA(MT)",,,
"NOVO SANTO ANTONIO","NOVO SANTO ANTONIO(PI)","NOVO SANTO ANTONIO(MT)",,,
"PEDRA PRETA","PEDRA PRETA(RN)","PEDRA PRETA(MT)",,,
"RIO BRANCO","RIO BRANCO(AC)","RIO BRANCO(MT)",,,
"VARZEA GRANDE","VARZEA GRANDE(PI)","VARZEA GRANDE(MT)",,,
"BARRO ALTO","BARRO ALTO(BA)","BARRO ALTO(GO)",,,
"CACHOEIRA DOURADA","CACHOEIRA DOURADA(MG)","CACHOEIRA DOURADA(GO)",,,
"DAVINOPOLIS","DAVINOPOLIS(MA)","DAVINOPOLIS(GO)",,,
"ESTRELA DO NORTE","ESTRELA DO NORTE(SP)","ESTRELA DO NORTE(GO)",,,
"FORMOSO","FORMOSO(MG)","FORMOSO(GO)",,,
"HIDROLANDIA","HIDROLANDIA(CE)","HIDROLANDIA(GO)",,,
"IPORA","IPORA(PR)","IPORA(GO)",,,
"ITAJA","ITAJA(RN)","ITAJA(SC)","ITAJA(GO)",,
"LAGOA SANTA","LAGOA SANTA(MG)","LAGOA SANTA(GO)",,,
"MORRINHOS","MORRINHOS(CE)","MORRINHOS(GO)",,,
"NOVA AURORA","NOVA AURORA(PR)","NOVA AURORA(GO)",,,
"NOVA VENEZA","NOVA VENEZA(SC)","NOVA VENEZA(GO)",,,
"PIRANHAS","PIRANHAS(AL)","PIRANHAS(GO)",,,
"SANTA ISABEL","SANTA ISABEL(SP)","SANTA ISABEL(GO)",,,
"SAO SIMAO","SAO SIMAO(SP)","SAO SIMAO(GO)",,,
"TRINDADE","TRINDADE(PE)","TRINDADE(GO)",,,
